# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:18:35
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
   5.542665e+03   1.120034e+00  -5.024977e-01   1.805763e-01  -1.474665e-01   5.897195e-01  -2.684554e-01
   4.880252e+03   1.063452e+00  -4.950320e-01   1.681614e-01  -1.388545e-01   5.583653e-01  -2.657392e-01
   4.297005e+03   1.008128e+00  -4.820005e-01   1.566467e-01  -1.299718e-01   5.276470e-01  -2.596990e-01
   3.783463e+03   9.554161e-01  -4.637845e-01   1.461422e-01  -1.208742e-01   4.983559e-01  -2.505800e-01
   3.331295e+03   9.064458e-01  -4.411373e-01   1.367308e-01  -1.116700e-01   4.711441e-01  -2.388364e-01
   2.933166e+03   8.620221e-01  -4.150543e-01   1.284507e-01  -1.024983e-01   4.464710e-01  -2.250550e-01
   2.582619e+03   8.225936e-01  -3.866296e-01   1.212910e-01  -9.350518e-02   4.245893e-01  -2.098724e-01
   2.273966e+03   7.882801e-01  -3.569309e-01   1.151980e-01  -8.482465e-02   4.055633e-01  -1.939038e-01
   2.002200e+03   7.589354e-01  -3.269116e-01   1.100863e-01  -7.656639e-02   3.893076e-01  -1.776952e-01
   1.762914e+03   7.342237e-01  -2.973610e-01   1.058520e-01  -6.881079e-02   3.756309e-01  -1.616966e-01
   1.552225e+03   7.136924e-01  -2.688884e-01   1.023831e-01  -6.160889e-02   3.642776e-01  -1.462540e-01
   1.366716e+03   6.968334e-01  -2.419288e-01   9.956851e-02  -5.498553e-02   3.549624e-01  -1.316148e-01
   1.203378e+03   6.831294e-01  -2.167628e-01   9.730376e-02  -4.894394e-02   3.473960e-01  -1.179387e-01
   1.059560e+03   6.720859e-01  -1.935425e-01   9.549420e-02  -4.347070e-02   3.413025e-01  -1.053135e-01
   9.329304e+02   6.632513e-01  -1.723194e-01   9.405686e-02  -3.854044e-02   3.364307e-01  -9.377029e-02
   8.214344e+02   6.562270e-01  -1.530700e-01   9.292075e-02  -3.411991e-02   3.325591e-01  -8.329824e-02
