# Elastic 'oceanless PREM' model
# Adapted from the PREM input file for LoadDef (https://github.com/hrmartens/LoadDef)
# DM, 25-Sep-2026
#
# Lyr  r_top (m) rho(kg/m3)    mu (Pa)   lam (Pa) eta (Pa*s) rheology  
# --- ---------- ---------- ---------- ---------- ---------- --------
   21 1.9000e+06 1.1734e+04 0.0000e+00 1.1529e+12 0.0000e+00 fluid     
   20 1.8000e+06 1.1809e+04 0.0000e+00 1.1775e+12 0.0000e+00 fluid     
   19 1.7000e+06 1.1880e+04 0.0000e+00 1.2013e+12 0.0000e+00 fluid     
   18 1.6000e+06 1.1947e+04 0.0000e+00 1.2242e+12 0.0000e+00 fluid     
   17 1.5000e+06 1.2010e+04 0.0000e+00 1.2464e+12 0.0000e+00 fluid     
   16 1.4000e+06 1.2069e+04 0.0000e+00 1.2679e+12 0.0000e+00 fluid     
   15 1.3000e+06 1.2125e+04 0.0000e+00 1.2888e+12 0.0000e+00 fluid     
   14 1.2215e+06 1.2764e+04 1.5674e+11 1.2389e+12 1.0000e+99 elastic   
   13 1.2171e+06 1.2766e+04 1.5687e+11 1.2394e+12 1.0000e+99 elastic   
   12 1.2000e+06 1.2775e+04 1.5739e+11 1.2412e+12 1.0000e+99 elastic   
   11 1.1000e+06 1.2825e+04 1.6028e+11 1.2518e+12 1.0000e+99 elastic   
   10 1.0000e+06 1.2871e+04 1.6296e+11 1.2614e+12 1.0000e+99 elastic   
    9 9.0000e+05 1.2912e+04 1.6540e+11 1.2702e+12 1.0000e+99 elastic   
    8 8.0000e+05 1.2949e+04 1.6760e+11 1.2781e+12 1.0000e+99 elastic   
    7 7.0000e+05 1.2982e+04 1.6957e+11 1.2851e+12 1.0000e+99 elastic   
    6 6.0000e+05 1.3010e+04 1.7128e+11 1.2911e+12 1.0000e+99 elastic   
    5 5.0000e+05 1.3034e+04 1.7273e+11 1.2962e+12 1.0000e+99 elastic   
    4 4.0000e+05 1.3054e+04 1.7393e+11 1.3005e+12 1.0000e+99 elastic   
    3 3.0000e+05 1.3069e+04 1.7487e+11 1.3037e+12 1.0000e+99 elastic   
    2 2.0000e+05 1.3080e+04 1.7554e+11 1.3061e+12 1.0000e+99 elastic   
    1 1.0000e+05 1.3086e+04 1.7594e+11 1.3075e+12 1.0000e+99 elastic   
