------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:26PM on March 06, 2024
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   5502   -6.2076354685    1.8898928413   -2.6810343871   -6.2076336581    1.8898921103   -2.6810331073
   5503   -6.2076356710    1.8898928494   -2.6810346748   -6.2076338613    1.8898921187   -2.6810333729
   5504   -6.2076358735    1.8898928575   -2.6810349278   -6.2076340644    1.8898921270   -2.6810336384
   5505   -6.2076360759    1.8898928656   -2.6810352024   -6.2076342674    1.8898921354   -2.6810339038
   5506   -6.2076362782    1.8898928736   -2.6810354799   -6.2076344704    1.8898921437   -2.6810341691
   5507   -6.2076364804    1.8898928817   -2.6810357417   -6.2076346733    1.8898921521   -2.6810344343
   5508   -6.2076366826    1.8898928898   -2.6810359842   -6.2076348762    1.8898921604   -2.6810346994
   5509   -6.2076368847    1.8898928978   -2.6810362673   -6.2076350789    1.8898921687   -2.6810349645
   5510   -6.2076370867    1.8898929059   -2.6810365126   -6.2076352816    1.8898921771   -2.6810352294
   5511   -6.2076372887    1.8898929139   -2.6810367687   -6.2076354842    1.8898921854   -2.6810354942
   5512   -6.2076374906    1.8898929220   -2.6810370284   -6.2076356867    1.8898921937   -2.6810357590
   5513   -6.2076376924    1.8898929301   -2.6810373217   -6.2076358892    1.8898922020   -2.6810360236
   5514   -6.2076378941    1.8898929381   -2.6810375887   -6.2076360916    1.8898922103   -2.6810362881
   5515   -6.2076380958    1.8898929462   -2.6810378407   -6.2076362939    1.8898922187   -2.6810365526
   5516   -6.2076382974    1.8898929542   -2.6810381116   -6.2076364961    1.8898922270   -2.6810368169
   5517   -6.2076384989    1.8898929623   -2.6810383715   -6.2076366983    1.8898922353   -2.6810370812
   5518   -6.2076387003    1.8898929703   -2.6810386431   -6.2076369004    1.8898922436   -2.6810373454
   5519   -6.2076389017    1.8898929783   -2.6810389038   -6.2076371024    1.8898922519   -2.6810376094
   5520   -6.2076391030    1.8898929864   -2.6810391537   -6.2076373044    1.8898922602   -2.6810378734
   5521   -6.2076393042    1.8898929944   -2.6810394343   -6.2076375063    1.8898922685   -2.6810381373
   5522   -6.2076395054    1.8898930024   -2.6810396894   -6.2076377081    1.8898922768   -2.6810384010
   5523   -6.2076397064    1.8898930104   -2.6810399340   -6.2076379098    1.8898922851   -2.6810386647
   5524   -6.2076399075    1.8898930185   -2.6810402208   -6.2076381114    1.8898922933   -2.6810389283
   5525   -6.2076401084    1.8898930265   -2.6810404523   -6.2076383130    1.8898923016   -2.6810391918
   5526   -6.2076403092    1.8898930345   -2.6810407338   -6.2076385145    1.8898923099   -2.6810394552
   5527   -6.2076405100    1.8898930425   -2.6810410164   -6.2076387160    1.8898923182   -2.6810397185
   5528   -6.2076407108    1.8898930506   -2.6810412440   -6.2076389173    1.8898923265   -2.6810399817
   5529   -6.2076409114    1.8898930586   -2.6810415406   -6.2076391186    1.8898923347   -2.6810402448
   5530   -6.2076411120    1.8898930666   -2.6810417898   -6.2076393199    1.8898923430   -2.6810405078
   5531   -6.2076413125    1.8898930746   -2.6810420444   -6.2076395210    1.8898923513   -2.6810407707
   5532   -6.2076415129    1.8898930826   -2.6810423119   -6.2076397221    1.8898923595   -2.6810410336
   5533   -6.2076417132    1.8898930906   -2.6810425774   -6.2076399231    1.8898923678   -2.6810412963
   5534   -6.2076419135    1.8898930986   -2.6810428410   -6.2076401240    1.8898923760   -2.6810415589
   5535   -6.2076421137    1.8898931066   -2.6810431029   -6.2076403249    1.8898923843   -2.6810418215
   5536   -6.2076423139    1.8898931145   -2.6810433592   -6.2076405256    1.8898923925   -2.6810420839
   5537   -6.2076425139    1.8898931225   -2.6810436479   -6.2076407263    1.8898924008   -2.6810423463
   5538   -6.2076427139    1.8898931305   -2.6810439048   -6.2076409270    1.8898924090   -2.6810426085
   5539   -6.2076429139    1.8898931385   -2.6810441491   -6.2076411276    1.8898924173   -2.6810428707
   5540   -6.2076431137    1.8898931465   -2.6810444071   -6.2076413280    1.8898924255   -2.6810431327
   5541   -6.2076433135    1.8898931545   -2.6810446789   -6.2076415285    1.8898924338   -2.6810433947
   5542   -6.2076435132    1.8898931624   -2.6810449383   -6.2076417288    1.8898924420   -2.6810436566
   5543   -6.2076437128    1.8898931704   -2.6810451967   -6.2076419291    1.8898924502   -2.6810439184
   5544   -6.2076439124    1.8898931784   -2.6810454503   -6.2076421293    1.8898924584   -2.6810441801
   5545   -6.2076441119    1.8898931863   -2.6810457294   -6.2076423294    1.8898924667   -2.6810444417
   5546   -6.2076443113    1.8898931943   -2.6810459739   -6.2076425295    1.8898924749   -2.6810447032
   5547   -6.2076445106    1.8898932022   -2.6810462440   -6.2076427295    1.8898924831   -2.6810449646
   5548   -6.2076447099    1.8898932102   -2.6810464872   -6.2076429294    1.8898924913   -2.6810452259
   5549   -6.2076449091    1.8898932181   -2.6810467563   -6.2076431292    1.8898924995   -2.6810454871
   5550   -6.2076451082    1.8898932261   -2.6810470251   -6.2076433290    1.8898925077   -2.6810457482
   5551   -6.2076453073    1.8898932341   -2.6810472822   -6.2076435287    1.8898925159   -2.6810460092
   5552   -6.2076455063    1.8898932420   -2.6810475428   -6.2076437283    1.8898925241   -2.6810462702
   5553   -6.2076457052    1.8898932499   -2.6810477996   -6.2076439279    1.8898925323   -2.6810465310
   5554   -6.2076459040    1.8898932579   -2.6810480715   -6.2076441274    1.8898925405   -2.6810467918
   5555   -6.2076461028    1.8898932658   -2.6810483246   -6.2076443268    1.8898925487   -2.6810470524
   5556   -6.2076463015    1.8898932737   -2.6810485817   -6.2076445261    1.8898925569   -2.6810473130
   5557   -6.2076465001    1.8898932817   -2.6810488352   -6.2076447254    1.8898925651   -2.6810475734
   5558   -6.2076466987    1.8898932896   -2.6810491231   -6.2076449246    1.8898925733   -2.6810478338
   5559   -6.2076468972    1.8898932975   -2.6810493661   -6.2076451237    1.8898925815   -2.6810480941
   5560   -6.2076470956    1.8898933054   -2.6810495983   -6.2076453228    1.8898925897   -2.6810483543
   5561   -6.2076472939    1.8898933134   -2.6810498803   -6.2076455217    1.8898925978   -2.6810486144
   5562   -6.2076474922    1.8898933213   -2.6810501441   -6.2076457207    1.8898926060   -2.6810488744
   5563   -6.2076476904    1.8898933292   -2.6810503936   -6.2076459195    1.8898926142   -2.6810491343
   5564   -6.2076478885    1.8898933371   -2.6810506781   -6.2076461183    1.8898926224   -2.6810493941
   5565   -6.2076480866    1.8898933450   -2.6810509069   -6.2076463170    1.8898926305   -2.6810496538
   5566   -6.2076482846    1.8898933529   -2.6810511784   -6.2076465156    1.8898926387   -2.6810499134
   5567   -6.2076484825    1.8898933608   -2.6810514284   -6.2076467141    1.8898926468   -2.6810501729
   5568   -6.2076486804    1.8898933687   -2.6810516910   -6.2076469126    1.8898926550   -2.6810504324
   5569   -6.2076488781    1.8898933766   -2.6810519247   -6.2076471110    1.8898926631   -2.6810506917
   5570   -6.2076490758    1.8898933845   -2.6810522433   -6.2076473094    1.8898926713   -2.6810509510
   5571   -6.2076492735    1.8898933924   -2.6810524952   -6.2076475076    1.8898926794   -2.6810512101
   5572   -6.2076494710    1.8898934003   -2.6810527261   -6.2076477058    1.8898926876   -2.6810514692
   5573   -6.2076496685    1.8898934082   -2.6810529928   -6.2076479039    1.8898926957   -2.6810517282
   5574   -6.2076498659    1.8898934161   -2.6810532501   -6.2076481020    1.8898927039   -2.6810519870
   5575   -6.2076500633    1.8898934239   -2.6810535054   -6.2076483000    1.8898927120   -2.6810522458
   5576   -6.2076502606    1.8898934318   -2.6810537780   -6.2076484979    1.8898927201   -2.6810525045
   5577   -6.2076504578    1.8898934397   -2.6810540224   -6.2076486957    1.8898927283   -2.6810527631
   5578   -6.2076506549    1.8898934476   -2.6810542804   -6.2076488935    1.8898927364   -2.6810530216
   5579   -6.2076508520    1.8898934554   -2.6810545483   -6.2076490912    1.8898927445   -2.6810532800
   5580   -6.2076510490    1.8898934633   -2.6810547921   -6.2076492888    1.8898927526   -2.6810535384
   5581   -6.2076512459    1.8898934712   -2.6810550611   -6.2076494864    1.8898927608   -2.6810537966
   5582   -6.2076514428    1.8898934790   -2.6810553214   -6.2076496839    1.8898927689   -2.6810540547
   5583   -6.2076516395    1.8898934869   -2.6810555691   -6.2076498813    1.8898927770   -2.6810543128
   5584   -6.2076518363    1.8898934947   -2.6810558387   -6.2076500786    1.8898927851   -2.6810545707
   5585   -6.2076520329    1.8898935026   -2.6810561073   -6.2076502759    1.8898927932   -2.6810548286
   5586   -6.2076522295    1.8898935104   -2.6810563713   -6.2076504731    1.8898928013   -2.6810550864
   5587   -6.2076524260    1.8898935183   -2.6810566118   -6.2076506703    1.8898928094   -2.6810553440
   5588   -6.2076526224    1.8898935261   -2.6810568592   -6.2076508673    1.8898928175   -2.6810556016
   5589   -6.2076528188    1.8898935340   -2.6810571098   -6.2076510643    1.8898928256   -2.6810558591
   5590   -6.2076530151    1.8898935418   -2.6810573638   -6.2076512612    1.8898928337   -2.6810561165
   5591   -6.2076532113    1.8898935496   -2.6810576251   -6.2076514581    1.8898928418   -2.6810563738
   5592   -6.2076534075    1.8898935575   -2.6810578860   -6.2076516549    1.8898928499   -2.6810566310
   5593   -6.2076536036    1.8898935653   -2.6810581544   -6.2076518516    1.8898928579   -2.6810568882
   5594   -6.2076537996    1.8898935731   -2.6810584075   -6.2076520482    1.8898928660   -2.6810571452
   5595   -6.2076539955    1.8898935810   -2.6810586644   -6.2076522448    1.8898928741   -2.6810574021
   5596   -6.2076541914    1.8898935888   -2.6810589176   -6.2076524413    1.8898928822   -2.6810576590
   5597   -6.2076543872    1.8898935966   -2.6810591633   -6.2076526377    1.8898928903   -2.6810579157
   5598   -6.2076545829    1.8898936044   -2.6810594093   -6.2076528341    1.8898928983   -2.6810581724
   5599   -6.2076547786    1.8898936122   -2.6810597091   -6.2076530304    1.8898929064   -2.6810584290
   5600   -6.2076549742    1.8898936200   -2.6810599330   -6.2076532266    1.8898929144   -2.6810586854
   5601   -6.2076551697    1.8898936278   -2.6810601919   -6.2076534227    1.8898929225   -2.6810589418
   5602   -6.2076553652    1.8898936357   -2.6810604551   -6.2076536188    1.8898929306   -2.6810591981
   5603   -6.2076555606    1.8898936434   -2.6810607077   -6.2076538148    1.8898929386   -2.6810594543
   5604   -6.2076557559    1.8898936512   -2.6810609687   -6.2076540108    1.8898929467   -2.6810597104
   5605   -6.2076559511    1.8898936590   -2.6810612231   -6.2076542066    1.8898929547   -2.6810599665
   5606   -6.2076561463    1.8898936668   -2.6810615051   -6.2076544024    1.8898929628   -2.6810602224
   5607   -6.2076563414    1.8898936746   -2.6810617348   -6.2076545982    1.8898929708   -2.6810604782
   5608   -6.2076565364    1.8898936824   -2.6810619581   -6.2076547938    1.8898929788   -2.6810607340
   5609   -6.2076567314    1.8898936902   -2.6810622437   -6.2076549894    1.8898929869   -2.6810609896
   5610   -6.2076569263    1.8898936980   -2.6810624964   -6.2076551849    1.8898929949   -2.6810612452
   5611   -6.2076571211    1.8898937058   -2.6810627466   -6.2076553804    1.8898930030   -2.6810615007
   5612   -6.2076573159    1.8898937135   -2.6810629909   -6.2076555758    1.8898930110   -2.6810617561
   5613   -6.2076575106    1.8898937213   -2.6810632787   -6.2076557711    1.8898930190   -2.6810620114
   5614   -6.2076577052    1.8898937291   -2.6810635034   -6.2076559663    1.8898930270   -2.6810622666
   5615   -6.2076578998    1.8898937369   -2.6810637719   -6.2076561615    1.8898930350   -2.6810625217
   5616   -6.2076580942    1.8898937446   -2.6810640271   -6.2076563566    1.8898930431   -2.6810627767
   5617   -6.2076582887    1.8898937524   -2.6810643148   -6.2076565516    1.8898930511   -2.6810630316
   5618   -6.2076584830    1.8898937602   -2.6810645206   -6.2076567466    1.8898930591   -2.6810632865
   5619   -6.2076586773    1.8898937679   -2.6810647783   -6.2076569415    1.8898930671   -2.6810635412
   5620   -6.2076588715    1.8898937757   -2.6810650382   -6.2076571363    1.8898930751   -2.6810637959
   5621   -6.2076590656    1.8898937834   -2.6810652967   -6.2076573311    1.8898930831   -2.6810640504
   5622   -6.2076592597    1.8898937912   -2.6810655424   -6.2076575258    1.8898930911   -2.6810643049
   5623   -6.2076594537    1.8898937989   -2.6810657983   -6.2076577204    1.8898930991   -2.6810645593
   5624   -6.2076596476    1.8898938067   -2.6810660530   -6.2076579149    1.8898931071   -2.6810648136
   5625   -6.2076598415    1.8898938144   -2.6810663027   -6.2076581094    1.8898931151   -2.6810650678
   5626   -6.2076600353    1.8898938222   -2.6810665745   -6.2076583038    1.8898931231   -2.6810653219
   5627   -6.2076602290    1.8898938299   -2.6810668109   -6.2076584982    1.8898931311   -2.6810655759
   5628   -6.2076604227    1.8898938376   -2.6810670809   -6.2076586924    1.8898931390   -2.6810658299
   5629   -6.2076606163    1.8898938454   -2.6810673043   -6.2076588866    1.8898931470   -2.6810660837
   5630   -6.2076608098    1.8898938531   -2.6810675845   -6.2076590808    1.8898931550   -2.6810663375
   5631   -6.2076610032    1.8898938608   -2.6810678105   -6.2076592748    1.8898931630   -2.6810665911
   5632   -6.2076611966    1.8898938686   -2.6810680743   -6.2076594688    1.8898931710   -2.6810668447
   5633   -6.2076613899    1.8898938763   -2.6810683455   -6.2076596627    1.8898931789   -2.6810670982
   5634   -6.2076615832    1.8898938840   -2.6810685934   -6.2076598566    1.8898931869   -2.6810673516
   5635   -6.2076617763    1.8898938917   -2.6810688449   -6.2076600504    1.8898931948   -2.6810676049
   5636   -6.2076619695    1.8898938994   -2.6810691002   -6.2076602441    1.8898932028   -2.6810678581
   5637   -6.2076621626    1.8898939072   -2.6810693439   -6.2076604378    1.8898932108   -2.6810681112
   5638   -6.2076623555    1.8898939149   -2.6810695916   -6.2076606313    1.8898932187   -2.6810683643
   5639   -6.2076625484    1.8898939226   -2.6810698471   -6.2076608249    1.8898932267   -2.6810686172
   5640   -6.2076627413    1.8898939303   -2.6810700837   -6.2076610183    1.8898932346   -2.6810688701
   5641   -6.2076629340    1.8898939380   -2.6810703552   -6.2076612117    1.8898932426   -2.6810691228
   5642   -6.2076631267    1.8898939457   -2.6810706195   -6.2076614050    1.8898932505   -2.6810693755
   5643   -6.2076633194    1.8898939534   -2.6810708574   -6.2076615982    1.8898932585   -2.6810696281
   5644   -6.2076635119    1.8898939611   -2.6810711267   -6.2076617914    1.8898932664   -2.6810698806
   5645   -6.2076637044    1.8898939688   -2.6810713582   -6.2076619845    1.8898932743   -2.6810701330
   5646   -6.2076638969    1.8898939765   -2.6810716021   -6.2076621775    1.8898932823   -2.6810703853
   5647   -6.2076640892    1.8898939841   -2.6810718584   -6.2076623705    1.8898932902   -2.6810706375
   5648   -6.2076642815    1.8898939918   -2.6810721195   -6.2076625634    1.8898932981   -2.6810708897
   5649   -6.2076644737    1.8898939995   -2.6810723741   -6.2076627562    1.8898933060   -2.6810711417
   5650   -6.2076646659    1.8898940072   -2.6810726143   -6.2076629490    1.8898933140   -2.6810713937
   5651   -6.2076648580    1.8898940148   -2.6810728597   -6.2076631417    1.8898933219   -2.6810716456
   5652   -6.2076650500    1.8898940225   -2.6810731334   -6.2076633343    1.8898933298   -2.6810718973
   5653   -6.2076652419    1.8898940302   -2.6810733738   -6.2076635269    1.8898933377   -2.6810721490
   5654   -6.2076654338    1.8898940378   -2.6810736389   -6.2076637194    1.8898933456   -2.6810724006
   5655   -6.2076656256    1.8898940455   -2.6810738747   -6.2076639118    1.8898933535   -2.6810726521
   5656   -6.2076658174    1.8898940532   -2.6810741315   -6.2076641041    1.8898933614   -2.6810729036
   5657   -6.2076660091    1.8898940608   -2.6810743978   -6.2076642964    1.8898933693   -2.6810731549
   5658   -6.2076662007    1.8898940685   -2.6810746275   -6.2076644886    1.8898933772   -2.6810734062
   5659   -6.2076663922    1.8898940761   -2.6810748745   -6.2076646808    1.8898933851   -2.6810736573
   5660   -6.2076665837    1.8898940838   -2.6810751390   -6.2076648729    1.8898933930   -2.6810739084
   5661   -6.2076667751    1.8898940914   -2.6810753825   -6.2076650649    1.8898934009   -2.6810741594
   5662   -6.2076669664    1.8898940991   -2.6810756514   -6.2076652568    1.8898934088   -2.6810744103
   5663   -6.2076671577    1.8898941067   -2.6810759187   -6.2076654487    1.8898934167   -2.6810746611
   5664   -6.2076673489    1.8898941144   -2.6810761268   -6.2076656405    1.8898934246   -2.6810749118
   5665   -6.2076675401    1.8898941220   -2.6810763797   -6.2076658323    1.8898934324   -2.6810751624
   5666   -6.2076677311    1.8898941296   -2.6810766352   -6.2076660239    1.8898934403   -2.6810754130
   5667   -6.2076679221    1.8898941373   -2.6810768819   -6.2076662155    1.8898934482   -2.6810756634
   5668   -6.2076681131    1.8898941449   -2.6810771429   -6.2076664071    1.8898934561   -2.6810759138
   5669   -6.2076683039    1.8898941525   -2.6810773951   -6.2076665985    1.8898934639   -2.6810761640
   5670   -6.2076684947    1.8898941601   -2.6810776272   -6.2076667900    1.8898934718   -2.6810764142
   5671   -6.2076686855    1.8898941677   -2.6810778777   -6.2076669813    1.8898934797   -2.6810766643
   5672   -6.2076688761    1.8898941754   -2.6810781391   -6.2076671726    1.8898934875   -2.6810769143
   5673   -6.2076690667    1.8898941830   -2.6810783727   -6.2076673638    1.8898934954   -2.6810771643
   5674   -6.2076692573    1.8898941906   -2.6810786483   -6.2076675549    1.8898935032   -2.6810774141
   5675   -6.2076694477    1.8898941982   -2.6810788964   -6.2076677460    1.8898935111   -2.6810776638
   5676   -6.2076696381    1.8898942058   -2.6810791325   -6.2076679370    1.8898935189   -2.6810779135
   5677   -6.2076698285    1.8898942134   -2.6810793876   -6.2076681279    1.8898935268   -2.6810781631
   5678   -6.2076700187    1.8898942210   -2.6810796386   -6.2076683188    1.8898935346   -2.6810784125
   5679   -6.2076702089    1.8898942286   -2.6810798741   -6.2076685096    1.8898935425   -2.6810786619
   5680   -6.2076703991    1.8898942362   -2.6810801249   -6.2076687003    1.8898935503   -2.6810789112
   5681   -6.2076705891    1.8898942438   -2.6810803759   -6.2076688909    1.8898935581   -2.6810791605
   5682   -6.2076707791    1.8898942514   -2.6810805998   -6.2076690815    1.8898935660   -2.6810794096
   5683   -6.2076709691    1.8898942590   -2.6810808666   -6.2076692721    1.8898935738   -2.6810796586
   5684   -6.2076711589    1.8898942666   -2.6810811375   -6.2076694625    1.8898935816   -2.6810799076
   5685   -6.2076713487    1.8898942741   -2.6810813818   -6.2076696529    1.8898935894   -2.6810801564
   5686   -6.2076715385    1.8898942817   -2.6810816149   -6.2076698433    1.8898935973   -2.6810804052
   5687   -6.2076717281    1.8898942893   -2.6810818641   -6.2076700335    1.8898936051   -2.6810806539
   5688   -6.2076719177    1.8898942969   -2.6810821371   -6.2076702237    1.8898936129   -2.6810809025
   5689   -6.2076721073    1.8898943044   -2.6810823684   -6.2076704138    1.8898936207   -2.6810811510
   5690   -6.2076722967    1.8898943120   -2.6810826198   -6.2076706039    1.8898936285   -2.6810813995
   5691   -6.2076724861    1.8898943196   -2.6810828490   -6.2076707939    1.8898936363   -2.6810816478
   5692   -6.2076726755    1.8898943271   -2.6810830946   -6.2076709838    1.8898936441   -2.6810818961
   5693   -6.2076728647    1.8898943347   -2.6810833452   -6.2076711737    1.8898936519   -2.6810821442
   5694   -6.2076730539    1.8898943423   -2.6810836047   -6.2076713635    1.8898936597   -2.6810823923
   5695   -6.2076732431    1.8898943498   -2.6810838500   -6.2076715532    1.8898936675   -2.6810826403
   5696   -6.2076734321    1.8898943574   -2.6810840851   -6.2076717429    1.8898936753   -2.6810828882
   5697   -6.2076736211    1.8898943649   -2.6810843487   -6.2076719325    1.8898936831   -2.6810831360
   5698   -6.2076738101    1.8898943725   -2.6810845945   -6.2076721220    1.8898936909   -2.6810833838
   5699   -6.2076739989    1.8898943800   -2.6810848341   -6.2076723114    1.8898936987   -2.6810836314
   5700   -6.2076741877    1.8898943876   -2.6810850871   -6.2076725008    1.8898937065   -2.6810838790
   5701   -6.2076743765    1.8898943951   -2.6810853380   -6.2076726902    1.8898937142   -2.6810841264
   5702   -6.2076745651    1.8898944026   -2.6810855792   -6.2076728794    1.8898937220   -2.6810843738
   5703   -6.2076747537    1.8898944102   -2.6810858495   -6.2076730686    1.8898937298   -2.6810846211
   5704   -6.2076749423    1.8898944177   -2.6810860714   -6.2076732578    1.8898937376   -2.6810848683
   5705   -6.2076751307    1.8898944252   -2.6810863265   -6.2076734468    1.8898937453   -2.6810851155
   5706   -6.2076753191    1.8898944328   -2.6810865567   -6.2076736358    1.8898937531   -2.6810853625
   5707   -6.2076755075    1.8898944403   -2.6810868241   -6.2076738247    1.8898937609   -2.6810856095
   5708   -6.2076756958    1.8898944478   -2.6810870706   -6.2076740136    1.8898937686   -2.6810858563
   5709   -6.2076758840    1.8898944553   -2.6810873002   -6.2076742024    1.8898937764   -2.6810861031
   5710   -6.2076760721    1.8898944628   -2.6810875635   -6.2076743911    1.8898937841   -2.6810863498
   5711   -6.2076762602    1.8898944704   -2.6810878138   -6.2076745798    1.8898937919   -2.6810865964
   5712   -6.2076764482    1.8898944779   -2.6810880553   -6.2076747684    1.8898937996   -2.6810868429
   5713   -6.2076766361    1.8898944854   -2.6810882802   -6.2076749569    1.8898938074   -2.6810870894
   5714   -6.2076768240    1.8898944929   -2.6810885197   -6.2076751454    1.8898938151   -2.6810873357
   5715   -6.2076770118    1.8898945004   -2.6810887699   -6.2076753338    1.8898938229   -2.6810875820
   5716   -6.2076771996    1.8898945079   -2.6810890311   -6.2076755221    1.8898938306   -2.6810878281
   5717   -6.2076773873    1.8898945154   -2.6810892837   -6.2076757104    1.8898938383   -2.6810880742
   5718   -6.2076775749    1.8898945229   -2.6810895241   -6.2076758986    1.8898938461   -2.6810883202
   5719   -6.2076777624    1.8898945304   -2.6810897718   -6.2076760868    1.8898938538   -2.6810885661
   5720   -6.2076779499    1.8898945379   -2.6810900306   -6.2076762748    1.8898938615   -2.6810888120
   5721   -6.2076781373    1.8898945454   -2.6810902619   -6.2076764628    1.8898938693   -2.6810890577
   5722   -6.2076783247    1.8898945529   -2.6810905162   -6.2076766508    1.8898938770   -2.6810893034
   5723   -6.2076785120    1.8898945603   -2.6810907314   -6.2076768386    1.8898938847   -2.6810895490
   5724   -6.2076786992    1.8898945678   -2.6810910050   -6.2076770265    1.8898938924   -2.6810897944
   5725   -6.2076788864    1.8898945753   -2.6810912473   -6.2076772142    1.8898939001   -2.6810900398
   5726   -6.2076790735    1.8898945828   -2.6810915014   -6.2076774019    1.8898939079   -2.6810902852
   5727   -6.2076792605    1.8898945903   -2.6810917284   -6.2076775895    1.8898939156   -2.6810905304
   5728   -6.2076794475    1.8898945977   -2.6810919557   -6.2076777770    1.8898939233   -2.6810907755
   5729   -6.2076796344    1.8898946052   -2.6810922183   -6.2076779645    1.8898939310   -2.6810910206
   5730   -6.2076798212    1.8898946127   -2.6810924658   -6.2076781519    1.8898939387   -2.6810912656
   5731   -6.2076800080    1.8898946201   -2.6810927020   -6.2076783393    1.8898939464   -2.6810915105
   5732   -6.2076801947    1.8898946276   -2.6810929623   -6.2076785266    1.8898939541   -2.6810917553
   5733   -6.2076803813    1.8898946350   -2.6810931686   -6.2076787138    1.8898939618   -2.6810920000
   5734   -6.2076805679    1.8898946425   -2.6810934341   -6.2076789009    1.8898939695   -2.6810922446
   5735   -6.2076807544    1.8898946499   -2.6810936889   -6.2076790880    1.8898939771   -2.6810924891
   5736   -6.2076809408    1.8898946574   -2.6810939523   -6.2076792751    1.8898939848   -2.6810927336
   5737   -6.2076811272    1.8898946649   -2.6810941855   -6.2076794620    1.8898939925   -2.6810929780
   5738   -6.2076813135    1.8898946723   -2.6810944277   -6.2076796489    1.8898940002   -2.6810932223
   5739   -6.2076814998    1.8898946797   -2.6810946398   -6.2076798357    1.8898940079   -2.6810934665
   5740   -6.2076816860    1.8898946872   -2.6810949078   -6.2076800225    1.8898940155   -2.6810937106
   5741   -6.2076818721    1.8898946946   -2.6810951342   -6.2076802092    1.8898940232   -2.6810939546
   5742   -6.2076820581    1.8898947020   -2.6810954011   -6.2076803958    1.8898940309   -2.6810941986
   5743   -6.2076822441    1.8898947095   -2.6810956344   -6.2076805824    1.8898940385   -2.6810944425
   5744   -6.2076824300    1.8898947169   -2.6810958927   -6.2076807689    1.8898940462   -2.6810946862
   5745   -6.2076826159    1.8898947243   -2.6810961332   -6.2076809553    1.8898940539   -2.6810949299
   5746   -6.2076828017    1.8898947318   -2.6810963559   -6.2076811417    1.8898940615   -2.6810951735
   5747   -6.2076829874    1.8898947392   -2.6810966156   -6.2076813280    1.8898940692   -2.6810954171
   5748   -6.2076831731    1.8898947466   -2.6810968656   -6.2076815143    1.8898940768   -2.6810956605
   5749   -6.2076833587    1.8898947540   -2.6810970824   -6.2076817005    1.8898940845   -2.6810959039
   5750   -6.2076835442    1.8898947614   -2.6810973248   -6.2076818866    1.8898940921   -2.6810961471
   5751   -6.2076837297    1.8898947688   -2.6810975890   -6.2076820726    1.8898940998   -2.6810963903
   5752   -6.2076839151    1.8898947763   -2.6810978280   -6.2076822586    1.8898941074   -2.6810966334
   5753   -6.2076841005    1.8898947837   -2.6810980499   -6.2076824445    1.8898941151   -2.6810968764
   5754   -6.2076842857    1.8898947911   -2.6810983329   -6.2076826304    1.8898941227   -2.6810971194
   5755   -6.2076844710    1.8898947985   -2.6810985363   -6.2076828162    1.8898941303   -2.6810973622
   5756   -6.2076846561    1.8898948059   -2.6810987893   -6.2076830019    1.8898941380   -2.6810976050
   5757   -6.2076848412    1.8898948133   -2.6810990450   -6.2076831876    1.8898941456   -2.6810978477
   5758   -6.2076850262    1.8898948207   -2.6810992682   -6.2076833732    1.8898941532   -2.6810980903
   5759   -6.2076852112    1.8898948281   -2.6810995139   -6.2076835587    1.8898941608   -2.6810983328
   5760   -6.2076853961    1.8898948354   -2.6810997469   -6.2076837442    1.8898941685   -2.6810985752
   5761   -6.2076855809    1.8898948428   -2.6810999790   -6.2076839296    1.8898941761   -2.6810988176
   5762   -6.2076857657    1.8898948502   -2.6811002535   -6.2076841149    1.8898941837   -2.6810990598
   5763   -6.2076859504    1.8898948576   -2.6811004802   -6.2076843002    1.8898941913   -2.6810993020
   5764   -6.2076861350    1.8898948650   -2.6811007219   -6.2076844854    1.8898941989   -2.6810995441
   5765   -6.2076863196    1.8898948724   -2.6811009710   -6.2076846705    1.8898942065   -2.6810997861
   5766   -6.2076865041    1.8898948797   -2.6811012236   -6.2076848556    1.8898942141   -2.6811000280
   5767   -6.2076866885    1.8898948871   -2.6811014483   -6.2076850406    1.8898942217   -2.6811002698
   5768   -6.2076868729    1.8898948945   -2.6811016924   -6.2076852256    1.8898942293   -2.6811005116
   5769   -6.2076870572    1.8898949018   -2.6811019245   -6.2076854105    1.8898942369   -2.6811007533
   5770   -6.2076872415    1.8898949092   -2.6811021840   -6.2076855953    1.8898942445   -2.6811009949
   5771   -6.2076874257    1.8898949166   -2.6811024120   -6.2076857801    1.8898942521   -2.6811012364
   5772   -6.2076876098    1.8898949239   -2.6811026480   -6.2076859648    1.8898942597   -2.6811014778
   5773   -6.2076877939    1.8898949313   -2.6811028840   -6.2076861494    1.8898942673   -2.6811017191
