------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:26PM on March 06, 2024
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
     90   -2.9109953448    0.8857046259   -1.4301059840   -6.1403925084    1.8871290548   -2.5931416361
     91   -2.9165538097    0.8866846543   -1.4302886942   -6.1411437101    1.8871599230   -2.5941235381
     92   -2.9220770382    0.8876223240   -1.4304546842   -6.1418785813    1.8871901201   -2.5950840944
     93   -2.9275668434    0.8885191590   -1.4306054662   -6.1425976488    1.8872196679   -2.5960239935
     94   -2.9330249536    0.8893766353   -1.4307424816   -6.1433014170    1.8872485869   -2.5969438949
     95   -2.9384529905    0.8901961558   -1.4308670856   -6.1439903690    1.8872768972   -2.5978444298
     96   -2.9438525149    0.8909790963   -1.4309805807   -6.1446649679    1.8873046176   -2.5987262037
     97   -2.9492250001    0.8917267734   -1.4310841993   -6.1453256575    1.8873317665   -2.5995897966
     98   -2.9545718551    0.8924404693   -1.4311791115   -6.1459728636    1.8873583613   -2.6004357651
     99   -2.9598944039    0.8931214039   -1.4312664292   -6.1466069949    1.8873844188   -2.6012646435
    100   -2.9651939136    0.8937707660   -1.4313472084   -6.1472284435    1.8874099553   -2.6020769442
    101   -2.9704715860    0.8943897015   -1.4314224519   -6.1478375862    1.8874349860   -2.6028731598
    102   -2.9757285637    0.8949793165   -1.4314931125   -6.1484347850    1.8874595259   -2.6036537633
    103   -2.9809659298    0.8955406782   -1.4315600927   -6.1490203876    1.8874835893   -2.6044192094
    104   -2.9861847253    0.8960748293   -1.4316242589   -6.1495947287    1.8875071900   -2.6051699355
    105   -2.9913859075    0.8965827430   -1.4316864090   -6.1501581300    1.8875303412   -2.6059063619
    106   -2.9965704183    0.8970653944   -1.4317473251   -6.1507109010    1.8875530555   -2.6066288936
    107   -3.0017391409    0.8975237140   -1.4318077400   -6.1512533398    1.8875753452   -2.6073379200
    108   -3.0068929152    0.8979586018   -1.4318683486   -6.1517857335    1.8875972222   -2.6080338163
    109   -3.0120325359    0.8983709235   -1.4319298105   -6.1523083585    1.8876186978   -2.6087169438
    110   -3.0171587612    0.8987615206   -1.4319927503   -6.1528214813    1.8876397829   -2.6093876508
    111   -3.0222723101    0.8991312048   -1.4320577608   -6.1533253585    1.8876604881   -2.6100462730
    112   -3.0273738658    0.8994807622   -1.4321254020   -6.1538202380    1.8876808235   -2.6106931341
    113   -3.0324640727    0.8998109474   -1.4321962061   -6.1543063586    1.8877007991   -2.6113285464
    114   -3.0375435504    0.9001224993   -1.4322706755   -6.1547839507    1.8877204242   -2.6119528110
    115   -3.0426128802    0.9004161251   -1.4323492867   -6.1552532368    1.8877397079   -2.6125662189
    116   -3.0476726167    0.9006925116   -1.4324324898   -6.1557144318    1.8877586592   -2.6131690508
    117   -3.0527232874    0.9009523251   -1.4325207112   -6.1561677432    1.8877772866   -2.6137615779
    118   -3.0577653899    0.9011962069   -1.4326143523   -6.1566133713    1.8877955982   -2.6143440621
    119   -3.0627993969    0.9014247780   -1.4327137946   -6.1570515098    1.8878136021   -2.6149167567
    120   -3.0678257574    0.9016386410   -1.4328193960   -6.1574823461    1.8878313059   -2.6154799063
    121   -3.0728449011    0.9018383837   -1.4329314965   -6.1579060611    1.8878487171   -2.6160337478
    122   -3.0778572270    0.9020245648   -1.4330504146   -6.1583228299    1.8878658428   -2.6165785098
    123   -3.0828631207    0.9021977335   -1.4331764531   -6.1587328220    1.8878826901   -2.6171144139
    124   -3.0878629469    0.9023584230   -1.4333098940   -6.1591362013    1.8878992657   -2.6176416744
    125   -3.0928570446    0.9025071393   -1.4334510056   -6.1595331266    1.8879155760   -2.6181604988
    126   -3.0978457425    0.9026443844   -1.4336000399   -6.1599237515    1.8879316275   -2.6186710878
    127   -3.1028293536    0.9027706447   -1.4337572313   -6.1603082247    1.8879474262   -2.6191736361
    128   -3.1078081607    0.9028863762   -1.4339228038   -6.1606866906    1.8879629780   -2.6196683320
    129   -3.1127824465    0.9029920384   -1.4340969636   -6.1610592888    1.8879782887   -2.6201553583
    130   -3.1177524734    0.9030880722   -1.4342799075   -6.1614261548    1.8879933638   -2.6206348918
    131   -3.1227184889    0.9031749027   -1.4344718165   -6.1617874197    1.8880082088   -2.6211071042
    132   -3.1276807226    0.9032529377   -1.4346728624   -6.1621432109    1.8880228289   -2.6215721619
    133   -3.1326394025    0.9033225860   -1.4348832051   -6.1624936519    1.8880372292   -2.6220302262
    134   -3.1375947353    0.9033842331   -1.4351029924   -6.1628388624    1.8880514145   -2.6224814537
    135   -3.1425469191    0.9034382575   -1.4353323636   -6.1631789586    1.8880653896   -2.6229259964
    136   -3.1474961426    0.9034850272   -1.4355714482   -6.1635140535    1.8880791592   -2.6233640017
    137   -3.1524425807    0.9035248984   -1.4358203641   -6.1638442564    1.8880927278   -2.6237956128
    138   -3.1573864005    0.9035582165   -1.4360792236   -6.1641696739    1.8881060998   -2.6242209686
    139   -3.1623277579    0.9035853168   -1.4363481277   -6.1644904090    1.8881192794   -2.6246402042
    140   -3.1672668035    0.9036065290   -1.4366271715   -6.1648065622    1.8881322707   -2.6250534507
    141   -3.1722036771    0.9036221707   -1.4369164424   -6.1651182310    1.8881450777   -2.6254608356
    142   -3.1771385074    0.9036325481   -1.4372160186   -6.1654255101    1.8881577043   -2.6258624827
    143   -3.1820714201    0.9036379635   -1.4375259731   -6.1657284915    1.8881701543   -2.6262585123
    144   -3.1870025325    0.9036387102   -1.4378463731   -6.1660272649    1.8881824314   -2.6266490415
    145   -3.1919319525    0.9036350707   -1.4381772765   -6.1663219173    1.8881945392   -2.6270341841
    146   -3.1968597834    0.9036273224   -1.4385187382   -6.1666125333    1.8882064811   -2.6274140507
    147   -3.2017861232    0.9036157363   -1.4388708069   -6.1668991954    1.8882182606   -2.6277887491
    148   -3.2067110602    0.9036005721   -1.4392335239   -6.1671819837    1.8882298808   -2.6281583841
    149   -3.2116346785    0.9035820840   -1.4396069277   -6.1674609761    1.8882413451   -2.6285230574
    150   -3.2165570606    0.9035605248   -1.4399910510   -6.1677362487    1.8882526566   -2.6288828685
    151   -3.2214782829    0.9035361391   -1.4403859228   -6.1680078752    1.8882638182   -2.6292379138
    152   -3.2263984097    0.9035091574   -1.4407915650   -6.1682759278    1.8882748329   -2.6295882876
    153   -3.2313175028    0.9034798061   -1.4412079984   -6.1685404763    1.8882857037   -2.6299340812
    154   -3.2362356294    0.9034483180   -1.4416352387   -6.1688015892    1.8882964332   -2.6302753840
    155   -3.2411528412    0.9034149067   -1.4420732965   -6.1690593329    1.8883070244   -2.6306122830
    156   -3.2460691926    0.9033797884   -1.4425221804   -6.1693137721    1.8883174797   -2.6309448627
    157   -3.2509847287    0.9033431673   -1.4429818952   -6.1695649701    1.8883278019   -2.6312732057
    158   -3.2558994987    0.9033052523   -1.4434524429   -6.1698129884    1.8883379934   -2.6315973925
    159   -3.2608135365    0.9032662324   -1.4439338204   -6.1700578870    1.8883480567   -2.6319175014
    160   -3.2657268850    0.9032263071   -1.4444260236   -6.1702997243    1.8883579942   -2.6322336090
    161   -3.2706395786    0.9031856648   -1.4449290457   -6.1705385574    1.8883678083   -2.6325457898
    162   -3.2755516458    0.9031444856   -1.4454428751   -6.1707744420    1.8883775012   -2.6328541165
    163   -3.2804631179    0.9031029523   -1.4459674996   -6.1710074323    1.8883870752   -2.6331586601
    164   -3.2853740180    0.9030612369   -1.4465029043   -6.1712375813    1.8883965324   -2.6334594897
    165   -3.2902843746    0.9030195165   -1.4470490720   -6.1714649405    1.8884058750   -2.6337566729
    166   -3.2951942031    0.9029779515   -1.4476059820   -6.1716895605    1.8884151050   -2.6340502756
    167   -3.3001035227    0.9029367058   -1.4481736134   -6.1719114904    1.8884242245   -2.6343403621
    168   -3.3050123533    0.9028959437   -1.4487519418   -6.1721307783    1.8884332354   -2.6346269951
    169   -3.3099207053    0.9028558154   -1.4493409426   -6.1723474711    1.8884421397   -2.6349102361
    170   -3.3148285949    0.9028164789   -1.4499405868   -6.1725616146    1.8884509392   -2.6351901448
    171   -3.3197360283    0.9027780773   -1.4505508460   -6.1727732534    1.8884596358   -2.6354667797
    172   -3.3246430173    0.9027407602   -1.4511716897   -6.1729824314    1.8884682313   -2.6357401980
    173   -3.3295495666    0.9027046671   -1.4518030853   -6.1731891911    1.8884767274   -2.6360104553
    174   -3.3344556824    0.9026699376   -1.4524450003   -6.1733935742    1.8884851259   -2.6362776062
    175   -3.3393613663    0.9026367063   -1.4530973973   -6.1735956216    1.8884934284   -2.6365417040
    176   -3.3442666226    0.9026051077   -1.4537602410   -6.1737953729    1.8885016365   -2.6368028007
    177   -3.3491714498    0.9025752693   -1.4544334935   -6.1739928672    1.8885097519   -2.6370609471
    178   -3.3540758577    0.9025473298   -1.4551171209   -6.1741881424    1.8885177761   -2.6373161930
    179   -3.3589798259    0.9025213926   -1.4558110729   -6.1743812358    1.8885257106   -2.6375685870
    180   -3.3638833582    0.9024975865   -1.4565153138   -6.1745721837    1.8885335570   -2.6378181766
    181   -3.3687864519    0.9024760322   -1.4572298015   -6.1747610217    1.8885413167   -2.6380650083
    182   -3.3736891003    0.9024568443   -1.4579544929   -6.1749477846    1.8885489911   -2.6383091276
    183   -3.3785912942    0.9024401333   -1.4586893441   -6.1751325063    1.8885565816   -2.6385505789
    184   -3.3834930334    0.9024260183   -1.4594343099   -6.1753152201    1.8885640896   -2.6387894057
    185   -3.3883943025    0.9024146000   -1.4601893450   -6.1754959587    1.8885715165   -2.6390256507
    186   -3.3932950940    0.9024059872   -1.4609544022   -6.1756747539    1.8885788635   -2.6392593553
    187   -3.3981953967    0.9024002819   -1.4617294349   -6.1758516368    1.8885861319   -2.6394905605
    188   -3.4030952027    0.9023975896   -1.4625143956   -6.1760266380    1.8885933230   -2.6397193060
    189   -3.4079944932    0.9023980015   -1.4633092346   -6.1761997873    1.8886004380   -2.6399456309
    190   -3.4128932582    0.9024016178   -1.4641139032   -6.1763711140    1.8886074782   -2.6401695735
    191   -3.4177914864    0.9024085358   -1.4649283516   -6.1765406467    1.8886144445   -2.6403911711
    192   -3.4226891556    0.9024188386   -1.4657525295   -6.1767084134    1.8886213384   -2.6406104604
    193   -3.4275862586    0.9024326261   -1.4665863862   -6.1768744416    1.8886281608   -2.6408274772
    194   -3.4324827758    0.9024499817   -1.4674298698   -6.1770387582    1.8886349128   -2.6410422568
    195   -3.4373786905    0.9024709913   -1.4682829287   -6.1772013895    1.8886415956   -2.6412548336
    196   -3.4422739880    0.9024957420   -1.4691455106   -6.1773623613    1.8886482102   -2.6414652411
    197   -3.4471686485    0.9025243131   -1.4700175628   -6.1775216989    1.8886547577   -2.6416735126
    198   -3.4520626537    0.9025567848   -1.4708990325   -6.1776794269    1.8886612390   -2.6418796803
    199   -3.4569559854    0.9025932363   -1.4717898656   -6.1778355698    1.8886676552   -2.6420837759
    200   -3.4618486266    0.9026337467   -1.4726900085   -6.1779901513    1.8886740072   -2.6422858306
    201   -3.4667405539    0.9026783860   -1.4735994073   -6.1781431946    1.8886802960   -2.6424858749
    202   -3.4716317487    0.9027272294   -1.4745180070   -6.1782947226    1.8886865226   -2.6426839384
    203   -3.4765221908    0.9027803483   -1.4754457537   -6.1784447578    1.8886926878   -2.6428800506
    204   -3.4814118575    0.9028378101   -1.4763825923   -6.1785933220    1.8886987925   -2.6430742402
    205   -3.4863007277    0.9028996832   -1.4773284669   -6.1787404368    1.8887048377   -2.6432665352
    206   -3.4911887823    0.9029660368   -1.4782833222   -6.1788861233    1.8887108243   -2.6434569633
    207   -3.4960759982    0.9030369343   -1.4792471026   -6.1790304022    1.8887167529   -2.6436455514
    208   -3.5009623540    0.9031124398   -1.4802197524   -6.1791732939    1.8887226246   -2.6438323263
    209   -3.5058478222    0.9031926091   -1.4812012155   -6.1793148181    1.8887284401   -2.6440173138
    210   -3.5107323811    0.9032775038   -1.4821914360   -6.1794549945    1.8887342002   -2.6442005395
    211   -3.5156160097    0.9033671848   -1.4831903569   -6.1795938422    1.8887399056   -2.6443820285
    212   -3.5204986835    0.9034617082   -1.4841979219   -6.1797313800    1.8887455573   -2.6445618053
    213   -3.5253803774    0.9035611279   -1.4852140746   -6.1798676264    1.8887511559   -2.6447398941
    214   -3.5302610693    0.9036655001   -1.4862387580   -6.1800025994    1.8887567022   -2.6449163185
    215   -3.5351407308    0.9037748728   -1.4872719156   -6.1801363169    1.8887621969   -2.6450911018
    216   -3.5400193407    0.9038893012   -1.4883134901   -6.1802687963    1.8887676407   -2.6452642667
    217   -3.5448968735    0.9040088340   -1.4893634252   -6.1804000546    1.8887730343   -2.6454358356
    218   -3.5497733028    0.9041335183   -1.4904216630   -6.1805301088    1.8887783785   -2.6456058304
    219   -3.5546486033    0.9042634012   -1.4914881466   -6.1806589752    1.8887836738   -2.6457742728
    220   -3.5595227495    0.9043985283   -1.4925628190   -6.1807866701    1.8887889210   -2.6459411840
    221   -3.5643957159    0.9045389440   -1.4936456229   -6.1809132095    1.8887941207   -2.6461065846
    222   -3.5692674762    0.9046846912   -1.4947365012   -6.1810386088    1.8887992736   -2.6462704951
    223   -3.5741380042    0.9048358115   -1.4958353967   -6.1811628834    1.8888043803   -2.6464329355
    224   -3.5790072738    0.9049923455   -1.4969422520   -6.1812860485    1.8888094413   -2.6465939256
    225   -3.5838752598    0.9051543341   -1.4980570098   -6.1814081188    1.8888144574   -2.6467534847
    226   -3.5887419313    0.9053218100   -1.4991796131   -6.1815291088    1.8888194291   -2.6469116317
    227   -3.5936072620    0.9054948107   -1.5003100047   -6.1816490328    1.8888243570   -2.6470683854
    228   -3.5984712319    0.9056733802   -1.5014481270   -6.1817679048    1.8888292417   -2.6472237641
    229   -3.6033338116    0.9058575509   -1.5025939229   -6.1818857387    1.8888340837   -2.6473777857
    230   -3.6081949635    0.9060473411   -1.5037473361   -6.1820025479    1.8888388835   -2.6475304680
    231   -3.6130546773    0.9062428060   -1.5049083087   -6.1821183458    1.8888436419   -2.6476818284
    232   -3.6179129140    0.9064439619   -1.5060767835   -6.1822331454    1.8888483592   -2.6478318839
    233   -3.6227696487    0.9066508418   -1.5072527038   -6.1823469596    1.8888530360   -2.6479806515
    234   -3.6276248521    0.9068634728   -1.5084360127   -6.1824598011    1.8888576729   -2.6481281475
    235   -3.6324784982    0.9070818848   -1.5096266533   -6.1825716822    1.8888622703   -2.6482743882
    236   -3.6373305593    0.9073061044   -1.5108245689   -6.1826826151    1.8888668287   -2.6484193896
    237   -3.6421810043    0.9075361539   -1.5120297027   -6.1827926120    1.8888713487   -2.6485631673
    238   -3.6470298112    0.9077720648   -1.5132419980   -6.1829016844    1.8888758306   -2.6487057369
    239   -3.6518769492    0.9080138578   -1.5144613987   -6.1830098442    1.8888802751   -2.6488471134
    240   -3.6567223913    0.9082615568   -1.5156878475   -6.1831171025    1.8888846825   -2.6489873117
    241   -3.6615661078    0.9085151819   -1.5169212886   -6.1832234708    1.8888890534   -2.6491263466
    242   -3.6664080701    0.9087747532   -1.5181616657   -6.1833289600    1.8888933881   -2.6492642324
    243   -3.6712482512    0.9090402923   -1.5194089226   -6.1834335810    1.8888976872   -2.6494009834
    244   -3.6760866224    0.9093118176   -1.5206630033   -6.1835373445    1.8889019510   -2.6495366134
    245   -3.6809231555    0.9095893474   -1.5219238518   -6.1836402608    1.8889061800   -2.6496711363
    246   -3.6857578217    0.9098728983   -1.5231914123   -6.1837423405    1.8889103746   -2.6498045655
    247   -3.6905905931    0.9101624872   -1.5244656292   -6.1838435936    1.8889145353   -2.6499369143
    248   -3.6954214400    0.9104581279   -1.5257464473   -6.1839440302    1.8889186624   -2.6500681958
    249   -3.7002503356    0.9107598370   -1.5270338104   -6.1840436600    1.8889227564   -2.6501984228
    250   -3.7050772529    0.9110676300   -1.5283276634   -6.1841424928    1.8889268176   -2.6503276079
    251   -3.7099021598    0.9113815154   -1.5296279512   -6.1842405381    1.8889308464   -2.6504557637
    252   -3.7147250285    0.9117015061   -1.5309346190   -6.1843378052    1.8889348433   -2.6505829025
    253   -3.7195458305    0.9120276134   -1.5322476117   -6.1844343035    1.8889388086   -2.6507090361
    254   -3.7243645403    0.9123598512   -1.5335668746   -6.1845300419    1.8889427427   -2.6508341766
    255   -3.7291811243    0.9126982232   -1.5348923531   -6.1846250294    1.8889466459   -2.6509583356
    256   -3.7339955585    0.9130427438   -1.5362239927   -6.1847192748    1.8889505186   -2.6510815246
    257   -3.7388078131    0.9133934192   -1.5375617395   -6.1848127868    1.8889543611   -2.6512037549
    258   -3.7436178580    0.9137502553   -1.5389055386   -6.1849055739    1.8889581739   -2.6513250377
    259   -3.7484256655    0.9141132598   -1.5402553363   -6.1849976445    1.8889619573   -2.6514453839
    260   -3.7532312069    0.9144824378   -1.5416110790   -6.1850890069    1.8889657115   -2.6515648044
    261   -3.7580344537    0.9148577949   -1.5429727129   -6.1851796692    1.8889694370   -2.6516833099
